schedule_id,menu_id,history_no,cooking_date,recipe_id,directions_detail_id,sequence_no,directions_detail,cooking_order,start_of_cooking_time,end_of_cooking_time,indent_no,start_pararell_flag,created_id,created_at,updated_id,updated_at
24370,39,1,2,157,888,3,フライパンにサラダ油大さじ1を熱し、ブリを両面焼き、取り出す,2,2,4,1,0,1,2014-04-10 00:00:00,1,2016-11-11 00:00:00
24371,39,1,2,157,887,2,玉ねぎは繊維に沿って細切りにし、ピーマンも縦に細切りにする,2,2.1,3.1,1,0,1,2014-04-10 00:00:00,1,2016-11-11 00:00:00
24372,39,1,2,282,1569,3,水菜を加え再び沸騰してきたら溶きほぐした卵を加える,1,4,5,0,0,1,2014-04-10 00:00:00,1,2016-11-11 00:00:00
24373,39,1,2,282,1570,4,塩、こしょうで味を整え完成,1,6,6,0,0,1,2014-04-10 00:00:00,1,2016-11-11 00:00:00
24374,39,1,2,157,889,4,ブリを焼いたフライパンを綺麗にし、サラダ油(分量外)を加え玉ねぎとピーマンを炒める,2,7,9,0,0,1,2014-04-10 00:00:00,1,2016-11-11 00:00:00
24375,39,1,2,157,890,5,玉ねぎがしんなりしたら塩、こしょう、カレー粉を加え味を整えstillたれで調味する,2,10,11,0,0,1,2014-04-10 00:00:00,1,2016-11-11 00:00:00
24376,39,1,2,157,891,6,ブリの上に炒めた野菜をのせて盛り付け完成,2,12,12,0,0,1,2014-04-10 00:00:00,1,2016-11-11 00:00:00
24377,39,1,3,323,1804,3,フライパンの上にすのこを置き、水1カップ(分量外)を加え、豚肉の長芋梅巻きを強火で6分蒸す,1,1,6,0,1,1,2014-04-10 00:00:00,1,2016-11-11 00:00:00
24378,39,1,3,323,1805,4,大根をすりおろす,1,1.1,1.1,1,0,1,2014-04-10 00:00:00,1,2016-11-11 00:00:00
24379,39,1,3,1651,10363,3,卵とマヨネーズを混ぜる,2,2,3,1,0,1,2014-04-10 00:00:00,1,2016-11-11 00:00:00
24380,39,1,3,1651,10364,4,フライパンを強火で温めサラダ油を加えて人参、玉ねぎを炒め、ほうれん草を加え塩、こしょうを振って一度皿に取り出す,2,4,6,1,0,1,2014-04-10 00:00:00,1,2016-11-11 00:00:00
24381,39,1,3,323,1806,5,豚肉の長芋梅巻きを食べやすく切る,1,7,7,0,0,1,2014-04-10 00:00:00,1,2016-11-11 00:00:00
24382,39,1,3,323,1807,6,豚肉の長芋梅巻きに大根おろしを添え、ポン酢をかけて完成,1,8,8,0,0,1,2014-04-10 00:00:00,1,2016-11-11 00:00:00
24383,39,1,3,1651,10365,5,フライパンをきれいにし、胡麻油を加えたら溶き卵を流し入れ、大きく混ぜる,2,9,11,0,0,1,2014-04-10 00:00:00,1,2016-11-11 00:00:00
24384,39,1,3,1651,10366,6,野菜を戻し入れ卵と絡めたらお皿に盛り付け完成,2,12,13,0,0,1,2014-04-10 00:00:00,1,2016-11-11 00:00:00
31608,35,1,0,246,10470,1,鯖は骨を抜いて2cm幅に斜め切りしてからグリルでこんがり焼く,1,1,10,0,1,1,2014-04-10 00:00:00,1,2016-11-11 00:00:00
31609,35,1,0,124,10657,1,水1Ｌ(分量外)、酒小さじ1(分量外)と野菜くず(その日出た人参の皮や玉ねぎの皮、キャベツの外葉、セロリの葉等の野菜の端切れ)を入れてだしを取る,4,1.1,4.1,1,1,1,2014-04-10 00:00:00,1,2016-11-11 00:00:00
31610,35,1,0,246,10471,2,しめじは石づきを落とし、ほぐしたらフライパンに酒を入れて火にかけ蓋をしてしんなりさせる,1,1.2,4.2,2,0,1,2014-04-10 00:00:00,1,2016-11-11 00:00:00
31611,35,1,0,124,10658,2,沸騰したら火を止め、野菜くずをきれいに取り出し、できた野菜スープだしを冷ましてから容器に入れ、保存する,4,5,5,1,0,1,2014-04-10 00:00:00,1,2016-11-11 00:00:00
31612,35,1,0,54,322,1,玉ねぎ、人参、にんにくはみじん切りにする,2,5.1,7.1,1,0,1,2014-04-10 00:00:00,1,2016-11-11 00:00:00
31613,35,1,0,54,323,2,玉ねぎ、人参は耐熱容器にいれてレンジで2分加熱する,2,8,9,1,0,1,2014-04-10 00:00:00,1,2016-11-11 00:00:00
31614,35,1,0,54,324,3,トマトはざく切りにする,2,8.1,8.1,1,0,1,2014-04-10 00:00:00,1,2016-11-11 00:00:00
31615,35,1,0,278,10639,1,人参は千切りにする,5,9,9,1,0,1,2014-04-10 00:00:00,1,2016-11-11 00:00:00
31616,35,1,0,278,10640,2,切った人参はレンジで2分加熱する,5,10,11,1,0,1,2014-04-10 00:00:00,1,2016-11-11 00:00:00
31617,35,1,0,246,10472,3,保存容器にしめじと鯖をいれて保存,1,11,13,0,0,1,2014-04-10 00:00:00,1,2016-11-11 00:00:00
31618,35,1,0,54,325,4,厚手の鍋にサラダ油を中火で温めにんにくのみじん切りと合挽きミンチを炒める,2,14,16,0,0,1,2014-04-10 00:00:00,1,2016-11-11 00:00:00
31619,35,1,0,54,326,5,鍋のミンチの色が変わってきたら、玉ねぎ、人参を加えて更に炒めトマトのざく切りと水を加え沸々してきたら火を止めてカレールーを加える,2,17,21,0,1,1,2014-04-10 00:00:00,1,2016-11-11 00:00:00
31620,35,1,0,1651,10361,1,ほうれん草は洗って3cmの長さに切り、人参は千切り、玉ねぎは薄切りにする,3,17.1,21.1,1,0,1,2014-04-10 00:00:00,1,2016-11-11 00:00:00
31621,35,1,0,54,327,6,鍋にウスターソースとケチャップを加え味を整え粗熱が取れたら、保存,2,22,22,0,0,1,2014-04-10 00:00:00,1,2016-11-11 00:00:00
31622,35,1,0,1651,10362,2,人参、玉ねぎ、ほうれん草の順番で鍋に入れて茹でたら水分をしっかり切って容器に入れて保存,3,22.1,27.1,0,0,1,2014-04-10 00:00:00,1,2016-11-11 00:00:00
31623,35,1,0,278,10641,3,ツナ缶の油を切って、加熱した人参とあわせる,5,26,26,0,0,1,2014-04-10 00:00:00,1,2016-11-11 00:00:00
31624,35,1,0,278,10642,4,ツナ缶とあわせた人参に、stillたれ、マヨネーズ、しょう油、マスタードを和えて保存,5,27,27,0,0,1,2014-04-10 00:00:00,1,2016-11-11 00:00:00
31625,35,1,0,1646,10339,1,玉ねぎは櫛切りにし、容器に入れて保存,6,28,28,0,0,1,2014-04-10 00:00:00,1,2016-11-11 00:00:00
31626,35,1,0,1646,10340,2,白身魚(切り身)はペーパータオルで水分をふき、保存,6,29,29,0,0,1,2014-04-10 00:00:00,1,2016-11-11 00:00:00
31627,35,1,0,1646,10341,3,エビは殻をむき、背綿を取り、保存,6,30,31,0,0,1,2014-04-10 00:00:00,1,2016-11-11 00:00:00
31628,35,1,1,1646,10342,4,白身魚に★をかけ、椎茸は食べやすい大きさに切る,1,1,1,0,0,1,2014-04-10 00:00:00,1,2016-11-11 00:00:00
31629,35,1,1,1646,10343,5,アルミホイルに玉ねぎを敷き、白身魚、エビ、椎茸、バターの順にのせて包む。同様に4個作る,1,2,4,0,0,1,2014-04-10 00:00:00,1,2016-11-11 00:00:00
31630,35,1,1,1646,10344,6,グリル皿にのせ、約20分焼いて完成,1,5,24,0,0,1,2014-04-10 00:00:00,1,2016-11-11 00:00:00
31631,35,1,1,124,10659,3,トマトはざく切りにする,2,5.1,6.1,0,0,1,2014-04-10 00:00:00,1,2016-11-11 00:00:00
31632,35,1,1,124,10660,4,野菜スープだし600mlを火にかけ、沸騰してきたらトマト、塩、ブラックペッパーで味を整える,2,7,11,0,0,1,2014-04-10 00:00:00,1,2016-11-11 00:00:00
31633,35,1,1,124,10661,5,スープにパセリを散らして完成,2,12,12,0,0,1,2014-04-10 00:00:00,1,2016-11-11 00:00:00
31634,35,1,2,54,328,7,ナスは輪切りにし、ピーマンは乱切りにする,1,1,2,0,0,1,2014-04-10 00:00:00,1,2016-11-11 00:00:00
31635,35,1,2,54,329,8,ナスとピーマンはサラダ油(分量外)をひいたフライパンで焼く,1,3,3,0,0,1,2014-04-10 00:00:00,1,2016-11-11 00:00:00
31636,35,1,2,54,330,9,お皿にご飯とカレー、ナスとピーマンを盛り付け完成,1,4,4,0,0,1,2014-04-10 00:00:00,1,2016-11-11 00:00:00
31637,35,1,2,103,10578,1,セロリは筋を取って薄切りにする,2,5,6,0,0,1,2014-04-10 00:00:00,1,2016-11-11 00:00:00
31638,35,1,2,103,10579,2,りんごは4つに切り芯を取り除き薄切りにし塩水につける,2,7,9,0,0,1,2014-04-10 00:00:00,1,2016-11-11 00:00:00
31639,35,1,2,103,10580,3,★の材料をよく混ぜてドレッシングを作る,2,10,11,0,0,1,2014-04-10 00:00:00,1,2016-11-11 00:00:00
31640,35,1,2,103,10581,4,セロリ、水気を切ったりんご、ドレッシングを併せ完成,2,12,13,0,0,1,2014-04-10 00:00:00,1,2016-11-11 00:00:00
31641,35,1,3,220,10598,1,あげは食べやすい大きさに切る,1,1,1,0,0,1,2014-04-10 00:00:00,1,2016-11-11 00:00:00
31642,35,1,3,220,10599,2,玉ねぎは櫛切りにする,1,2,2,0,0,1,2014-04-10 00:00:00,1,2016-11-11 00:00:00
31643,35,1,3,220,10600,3,だしと、玉ねぎを鍋に入れて中火にかける,1,3,5,0,1,1,2014-04-10 00:00:00,1,2016-11-11 00:00:00
31644,35,1,3,246,10473,4,ポン酢と大根おろし、かぼすをかけ完成,2,3.1,3.1,1,0,1,2014-04-10 00:00:00,1,2016-11-11 00:00:00
31645,35,1,3,1651,10363,3,卵とマヨネーズを混ぜる,3,4,5,1,0,1,2014-04-10 00:00:00,1,2016-11-11 00:00:00
31646,35,1,3,220,10601,4,沸騰したらあげを加え、ひと煮立したら白味噌を加える,1,6,6,0,0,1,2014-04-10 00:00:00,1,2016-11-11 00:00:00
31647,35,1,3,220,10602,5,お好みで三つ葉を散らして完成,1,7,7,0,0,1,2014-04-10 00:00:00,1,2016-11-11 00:00:00
31648,35,1,3,1651,10364,4,フライパンを強火で温めサラダ油を加えて人参、玉ねぎを炒め、ほうれん草を加え塩、こしょうを振って一度皿に取り出す,3,8,10,0,0,1,2014-04-10 00:00:00,1,2016-11-11 00:00:00
31649,35,1,3,1651,10365,5,フライパンをきれいにし、胡麻油を加えたら溶き卵を流し入れ、大きく混ぜる,3,11,13,0,0,1,2014-04-10 00:00:00,1,2016-11-11 00:00:00
31650,35,1,3,1651,10366,6,野菜を戻し入れ卵と絡めたらお皿に盛り付け完成,3,14,15,0,0,1,2014-04-10 00:00:00,1,2016-11-11 00:00:00
39334,38,1,0,77,11090,1,ごぼうは皮をアルミ箔でこすり落とし、千切りにし水にさらす,1,1,3,0,0,1,2014-04-10 00:00:00,1,2016-11-11 00:00:00
39335,38,1,0,77,11091,2,鍋に、ごぼう、酢小さじ1(分量外)、水を加えて加熱し、沸騰したら5分茹でる,1,4,11,0,1,1,2014-04-10 00:00:00,1,2016-11-11 00:00:00
39336,38,1,0,32,11358,1,玉ねぎはスライスしてサラダ油でしっかりときつね色になるまで炒める,2,4.1,8.1,1,0,1,2014-04-10 00:00:00,1,2016-11-11 00:00:00
39337,38,1,0,32,11359,2,水とブイヨンを加えて火にかけ沸騰したら灰汁を取り、ブラックペッパーで味を整える,2,9,13,1,0,1,2014-04-10 00:00:00,1,2016-11-11 00:00:00
39338,38,1,0,55,11382,1,えのき、椎茸、しめじは石づきを落とし、食べやすい大きさに切る,3,9.1,11.1,1,0,1,2014-04-10 00:00:00,1,2016-11-11 00:00:00
39339,38,1,0,77,11092,3,サラダ油でごぼうを炒め、だし、酢小さじ2、砂糖、stillたれを入れて中火で炒り煮する,1,12,16,0,0,1,2014-04-10 00:00:00,1,2016-11-11 00:00:00
39340,38,1,0,77,11093,4,水分が無くなったら火を止めてボウルに移し冷ます,1,17,19,0,0,1,2014-04-10 00:00:00,1,2016-11-11 00:00:00
39341,38,1,0,77,11094,5,マヨネーズと和えて、容器に入れ保存,1,20,21,0,0,1,2014-04-10 00:00:00,1,2016-11-11 00:00:00
39342,38,1,0,32,11360,3,保存容器に入れ保存,2,22,22,0,0,1,2014-04-10 00:00:00,1,2016-11-11 00:00:00
39343,38,1,0,55,11383,2,にんにくはみじん切り、鷹の爪は種を取り除いて輪切りにする,3,23,24,0,0,1,2014-04-10 00:00:00,1,2016-11-11 00:00:00
39344,38,1,0,55,11384,3,フライパンにオリーブオイル(分量外大2)を加え、にんにくを弱火で炒める,3,25,27,0,0,1,2014-04-10 00:00:00,1,2016-11-11 00:00:00
39345,38,1,0,55,11385,4,香りが出てきたら、鷹の爪、きのこを加えて炒め塩、ブラックペッパーをふり、容器に入れて保存,3,28,30,0,0,1,2014-04-10 00:00:00,1,2016-11-11 00:00:00
39346,38,1,0,326,1819,1,豚ロース薄切りは細かく切る,4,31,33,0,0,1,2014-04-10 00:00:00,1,2016-11-11 00:00:00
39347,38,1,0,326,1820,2,豚肉を炒めて、一度取り出す,4,34,36,0,0,1,2014-04-10 00:00:00,1,2016-11-11 00:00:00
39348,38,1,0,326,1821,3,生姜はみじん切りにする,4,37,38,0,0,1,2014-04-10 00:00:00,1,2016-11-11 00:00:00
39349,38,1,0,326,1822,4,鍋で赤味噌、砂糖、酒、みりんを加えて煮詰める,4,39,41,0,0,1,2014-04-10 00:00:00,1,2016-11-11 00:00:00
39350,38,1,0,326,1823,5,豚肉と味噌、生姜(みじん切り)を混ぜて、容器に入れて保存,4,42,43,0,0,1,2014-04-10 00:00:00,1,2016-11-11 00:00:00
39351,38,1,0,1655,11457,1,タラ切り身は皮目に切り込みを入れ(食べやすい大きさに切ってもよい)、塩、こしょうをふり、容器に入れて保存,5,44,45,0,0,1,2014-04-10 00:00:00,1,2016-11-11 00:00:00
39352,38,1,1,80,11372,2,さやいんげんに軽く塩をして耐熱性の平皿にのせ、皿ごとラップで包み込み、レンジで2～3分加熱する,3,1,2,0,1,1,2014-04-10 00:00:00,1,2016-11-11 00:00:00
39353,38,1,1,326,1824,6,木綿豆腐は4つに切り水を切る,1,1.1,4.1,1,0,1,2014-04-10 00:00:00,1,2016-11-11 00:00:00
39354,38,1,1,326,1825,7,水切りした豆腐を、フライパンで両面こんがりと焼く,1,5,8,1,0,1,2014-04-10 00:00:00,1,2016-11-11 00:00:00
39355,38,1,1,220,10598,1,あげは食べやすい大きさに切る,2,5.1,5.1,1,0,1,2014-04-10 00:00:00,1,2016-11-11 00:00:00
39356,38,1,1,220,10599,2,玉ねぎは櫛切りにする,2,6,6,1,0,1,2014-04-10 00:00:00,1,2016-11-11 00:00:00
39357,38,1,1,220,10600,3,だしと、玉ねぎを鍋に入れて中火にかける,2,7,9,1,0,1,2014-04-10 00:00:00,1,2016-11-11 00:00:00
39358,38,1,1,80,11371,1,玉ねぎは薄切りにして水にさらす,3,7.1,8.1,0,0,1,2014-04-10 00:00:00,1,2016-11-11 00:00:00
39359,38,1,1,326,1826,8,肉みそに水(大1)を加えてレンジで温める,1,9,9,0,0,1,2014-04-10 00:00:00,1,2016-11-11 00:00:00
39360,38,1,1,220,10601,4,沸騰したらあげを加え、ひと煮立したら白味噌を加える,2,10,10,0,0,1,2014-04-10 00:00:00,1,2016-11-11 00:00:00
39361,38,1,1,326,1827,9,焼いた豆腐に肉みそをかけて完成,1,10.1,10.1,0,0,1,2014-04-10 00:00:00,1,2016-11-11 00:00:00
39362,38,1,1,220,10602,5,お好みで三つ葉を散らして完成,2,11,11,0,0,1,2014-04-10 00:00:00,1,2016-11-11 00:00:00
39363,38,1,1,80,11373,3,さやいんげんは、加熱後冷水にさらし、水気を切ってから適当な長さに切る,3,12,13,0,0,1,2014-04-10 00:00:00,1,2016-11-11 00:00:00
39364,38,1,1,80,11374,4,★を合わせてすり、水気を切った玉ねぎとさやいんげんに和えて完成,3,14,14,0,0,1,2014-04-10 00:00:00,1,2016-11-11 00:00:00
39365,38,1,2,103,11516,1,セロリは筋を取って薄切りにする,1,1,2,0,0,1,2014-04-10 00:00:00,1,2016-11-11 00:00:00
39366,38,1,2,103,11517,2,りんごは4つに切り芯を取り除き、薄切りにし塩水につける,1,3,5,0,0,1,2014-04-10 00:00:00,1,2016-11-11 00:00:00
39367,38,1,2,103,11518,3,★の材料をよく混ぜてドレッシングを作る,1,6,7,0,0,1,2014-04-10 00:00:00,1,2016-11-11 00:00:00
39368,38,1,2,103,11519,4,セロリ、水気を切ったりんご、ドレッシングを合わせて完成,1,8,9,0,0,1,2014-04-10 00:00:00,1,2016-11-11 00:00:00
39369,38,1,2,1655,11458,2,牛乳は室温に戻しておく,2,10,10,0,0,1,2014-04-10 00:00:00,1,2016-11-11 00:00:00
39370,38,1,2,1655,11459,3,じゃがいもは厚さ2~3mmの薄切りにし、玉ねぎ、にんにくも薄切りにする,2,11,13,0,0,1,2014-04-10 00:00:00,1,2016-11-11 00:00:00
39371,38,1,2,1655,11460,4,じゃがいも、玉ねぎ、にんにくと★をそれぞれ2等分してグラタン皿に入れ、ラップをしてレンジで約4分加熱する,2,14,18,0,0,1,2014-04-10 00:00:00,1,2016-11-11 00:00:00
39372,38,1,2,1655,11461,5,加熱したグラタン皿それぞれに牛乳を半量ずつ入れ、タラを皮目を下にしてのせ、粉チーズをかけてグリルで約10分焼いて完成,2,19,29,0,0,1,2014-04-10 00:00:00,1,2016-11-11 00:00:00
39373,38,1,3,32,11361,4,フランスパンを厚さ1cmに切り、チーズをのせてオーブントースターでこんがり焼く,1,1,3,0,1,1,2014-04-10 00:00:00,1,2016-11-11 00:00:00
39374,38,1,3,55,11386,5,フライパンに2カップの水を入れ、塩小1(分量外)を加えて沸騰したところに、パスタを半分に折って入れる,2,1.1,3.1,1,0,1,2014-04-10 00:00:00,1,2016-11-11 00:00:00
39375,38,1,3,77,11095,6,器に盛り付け、一味唐辛子を振って完成,3,1.2,1.2,1,0,1,2014-04-10 00:00:00,1,2016-11-11 00:00:00
39376,38,1,3,32,11362,5,アツアツのスープを器に注ぎ、チーズトーストをのせて完成,1,4,6,0,0,1,2014-04-10 00:00:00,1,2016-11-11 00:00:00
39377,38,1,3,55,11387,6,パスタが柔らかくなってきたらオリーブオイルときのこを加えて混ぜ合わせる,2,7,10,0,0,1,2014-04-10 00:00:00,1,2016-11-11 00:00:00
39378,38,1,3,55,11388,7,お皿に盛り付け、お好みでチーズを振る,2,11,12,0,0,1,2014-04-10 00:00:00,1,2016-11-11 00:00:00
51237,49,1,0,54,12971,1,玉ねぎ、人参はみじん切りにし、耐熱容器にいれてレンジで2分加熱する,1,1,5,0,0,1,2014-04-10 00:00:00,1,2016-11-11 00:00:00
51238,49,1,0,54,12972,2,にんにくはみじん切りにする,1,1.1,1.1,1,0,1,2014-04-10 00:00:00,1,2016-11-11 00:00:00
51239,49,1,0,54,12973,3,トマトはざく切りにする,1,2,2,1,0,1,2014-04-10 00:00:00,1,2016-11-11 00:00:00
51240,49,1,0,54,12974,4,厚手の鍋にサラダ油を中火で温めにんにくのみじん切りと合挽きミンチを炒める,1,3,4,1,0,1,2014-04-10 00:00:00,1,2016-11-11 00:00:00
51241,49,1,0,54,12975,5,鍋のミンチの色が変わってきたら、玉ねぎ、人参を加えて更に炒めトマトのざく切りと水を加え沸々してきたら火を止めてカレールーを加える,1,4,50,0,0,1,2014-04-10 00:00:00,1,2016-11-11 00:00:00
51242,49,1,0,1651,12657,2,鍋に人参、玉ねぎ、ほうれん草の順番で加えて茹で、その後水分をしっかり切って容器に入れて保存,2,13,22,1,0,1,2014-04-10 00:00:00,1,2016-11-11 00:00:00
51243,49,1,0,134,751,1,ナスはへたを落とし1cmの輪切りにし水に潜らせ、水分を拭き取る,3,21.1,30,2,0,1,2014-04-10 00:00:00,1,2016-11-11 00:00:00
51244,49,1,0,1651,12656,1,ほうれん草は洗って3cmの長さに切り、人参は千切り、玉ねぎは薄切りにする,2,31,40,1,0,1,2014-04-10 00:00:00,1,2016-11-11 00:00:00
51245,49,1,0,134,752,2,豚ロース薄切りに塩、こしょうをふりナスに巻きつけ、薄力粉をまぶす,3,41,41,1,0,1,2014-04-10 00:00:00,1,2016-11-11 00:00:00
51246,49,1,0,228,11032,2,エリンギ、ピーマンは縦に4つに切る、パプリカ黄、パプリカ赤は種を取り細切りにして保存,8,42,43,1,0,1,2014-04-10 00:00:00,1,2016-11-11 00:00:00
51247,49,1,0,54,12976,6,鍋にウスターソースとケチャップを加え味を整え粗熱が取れたら、保存,1,51,52,0,0,1,2014-04-10 00:00:00,1,2016-11-11 00:00:00
51248,49,1,0,211,1176,4,鰯の梅煮を容器に入れて保存,7,58,58,0,0,1,2014-04-10 00:00:00,1,2016-11-11 00:00:00
51249,49,1,1,228,11033,3,フライパンを強火で熱しサラダ油を加え、中火で鶏もも肉を皮面からこんがりとするまで5分くらい焼く、野菜も一緒に焼く,1,1,5,0,0,1,2014-04-10 00:00:00,1,2016-11-11 00:00:00
51250,49,1,1,279,12377,2,あげはフライパンで素焼きする,3,1.1,3.1,1,0,1,2014-04-10 00:00:00,1,2016-11-11 00:00:00
51251,49,1,1,7,38,2,にんにく、わけぎはみじん切りにする,2,1.2,3.2,2,0,1,2014-04-10 00:00:00,1,2016-11-11 00:00:00
51252,49,1,1,7,39,3,深めの耐熱容器にあさり、にんにく、バター、白ワインを入れてラップをし4分加熱する,2,4,7,2,0,1,2014-04-10 00:00:00,1,2016-11-11 00:00:00
51253,49,1,1,279,12378,3,素焼きしたあげは、1cm幅に切る,3,4.1,4.1,1,0,1,2014-04-10 00:00:00,1,2016-11-11 00:00:00
51254,49,1,1,279,12379,4,★の生姜をすりおろし、★をすべて混ぜ合わせてドレッシングを作る。,3,5,6,1,0,1,2014-04-10 00:00:00,1,2016-11-11 00:00:00
51255,49,1,1,228,11034,4,肉の色が変わってきたらひっくり返し中まで火が通るまで3?4分焼く,1,6,9,0,0,1,2014-04-10 00:00:00,1,2016-11-11 00:00:00
51256,49,1,1,279,12380,5,お皿に水菜とあげを盛り付け、ドレッシングをかけて完成,3,7,7,1,0,1,2014-04-10 00:00:00,1,2016-11-11 00:00:00
51257,49,1,1,7,40,4,あさりの酒蒸しを器に盛り付けわけぎを散らして完成,2,8,8,1,0,1,2014-04-10 00:00:00,1,2016-11-11 00:00:00
51258,49,1,1,228,11035,5,パプリカ等の野菜はこんがり焼けたら取り出す,1,10,10,0,0,1,2014-04-10 00:00:00,1,2016-11-11 00:00:00
51259,49,1,1,228,11036,6,油をペーパーでふき取り、少し火から離してstillたれを加え、再び火にかけ鶏もも肉、野菜をたれに絡める,1,11,13,0,0,1,2014-04-10 00:00:00,1,2016-11-11 00:00:00
51260,49,1,1,228,11037,7,お皿に鶏もも肉と焼き野菜を盛り付け完成,1,14,14,0,0,1,2014-04-10 00:00:00,1,2016-11-11 00:00:00
51261,49,1,1,1651,12658,3,卵とマヨネーズを混ぜる,4,15,16,0,0,1,2014-04-10 00:00:00,1,2016-11-11 00:00:00
51262,49,1,1,1651,12659,4,フライパンを強火で温めサラダ油を加えて人参、玉ねぎを炒め、ほうれん草を加え、塩、こしょうを振って一度皿に取り出す,4,17,19,0,0,1,2014-04-10 00:00:00,1,2016-11-11 00:00:00
51263,49,1,1,1651,12660,5,フライパンをきれいにし、胡麻油を加えたら溶き卵を流し入れ、大きく混ぜる,4,20,22,0,0,1,2014-04-10 00:00:00,1,2016-11-11 00:00:00
51264,49,1,1,1651,12661,6,野菜を戻し入れ卵と絡めたらお皿に盛り付け完成,4,23,24,0,0,1,2014-04-10 00:00:00,1,2016-11-11 00:00:00
51265,49,1,2,282,1568,2,鍋に水を入れて火にかけ沸騰してきたら鶏がらスープの素を加える,2,1,3,0,0,1,2014-04-10 00:00:00,1,2016-11-11 00:00:00
51266,49,1,2,85,480,2,さんまに塩、こしょう、薄力粉を振る,1,1.1,1.1,1,0,1,2014-04-10 00:00:00,1,2016-11-11 00:00:00
51267,49,1,2,85,483,5,フライパンにオリーブオイルとみじん切りのにんにくを炒め、香りが出たらさんまを焼く,1,2,4,1,0,1,2014-04-10 00:00:00,1,2016-11-11 00:00:00
51268,49,1,2,85,481,3,水菜は3cmの長さに切り、万能ねぎ、みょうが、大葉、生姜、にんにくはみじん切りにする,1,2.1,7.1,2,0,1,2014-04-10 00:00:00,1,2016-11-11 00:00:00
51269,49,1,2,85,482,4,stillたれと酢を併せ、みじん切りにしたにんにく以外の薬味と混ぜ香味ソースを作る,1,8,8,1,0,1,2014-04-10 00:00:00,1,2016-11-11 00:00:00
51270,49,1,2,85,484,6,さんまの周りの色が変わってきたら、ひっくり返し両面を焼き水菜と一緒に器に盛り完成,1,9,10,1,0,1,2014-04-10 00:00:00,1,2016-11-11 00:00:00
51271,49,1,2,282,1567,1,水菜は洗って1cmに切る,2,9.1,9.1,0,0,1,2014-04-10 00:00:00,1,2016-11-11 00:00:00
51272,49,1,2,282,1569,3,水菜を加え再び沸騰してきたら溶きほぐした卵を加える,2,10,11,0,0,1,2014-04-10 00:00:00,1,2016-11-11 00:00:00
