,prediction,label,filename,categorynames,prob_0,prob_1,prob_2,prob_3
21,2,2,/media/panasonic/644E9C944E9C611A/tmp/data/img/food_google_search_256_manually_select_20180802_4class/potato/654.png,potato,1.46832653e-14,2.20862262e-09,1,8.47120662e-30]]
22,0,0,/media/panasonic/644E9C944E9C611A/tmp/data/img/food_google_search_256_manually_select_20180802_4class/broccoli/162.png,broccoli,0.999636292,2.9552142e-11,0.000363737781,2.28588596e-16
23,3,3,/media/panasonic/644E9C944E9C611A/tmp/data/img/food_google_search_256_manually_select_20180802_4class/tomato/236.png,tomato,0,2.03767311e-35,0,1]]
24,3,2,/media/panasonic/644E9C944E9C611A/tmp/data/img/food_google_search_256_manually_select_20180802_4class/potato/699.png,potato,1.0129954e-17,1.84728014e-11,1.04629621e-17,1
25,2,2,/media/panasonic/644E9C944E9C611A/tmp/data/img/food_google_search_256_manually_select_20180802_4class/potato/361.png,potato,2.30863846e-31,1.21074707e-24,1,0]]
26,2,2,/media/panasonic/644E9C944E9C611A/tmp/data/img/food_google_search_256_manually_select_20180802_4class/potato/64.png,potato,5.26988609e-12,4.68375874e-05,0.999953151,3.44672e-20
27,3,3,/media/panasonic/644E9C944E9C611A/tmp/data/img/food_google_search_256_manually_select_20180802_4class/tomato/4.png,tomato,4.6049711e-25,5.05290532e-10,7.45168103e-27,1]]
28,2,2,/media/panasonic/644E9C944E9C611A/tmp/data/img/food_google_search_256_manually_select_20180802_4class/potato/24.png,potato,0.000203569769,0.00167006336,0.998126328,2.83436967e-12
29,1,1,/media/panasonic/644E9C944E9C611A/tmp/data/img/food_google_search_256_manually_select_20180802_4class/eggplant/508.png,eggplant,3.83552739e-15,1,1.91418799e-12,1.75349806e-12]]
30,0,0,/media/panasonic/644E9C944E9C611A/tmp/data/img/food_google_search_256_manually_select_20180802_4class/broccoli/537.png,broccoli,0.755480587,0.244519398,4.442966e-10,1.14265761e-14
31,3,3,/media/panasonic/644E9C944E9C611A/tmp/data/img/food_google_search_256_manually_select_20180802_4class/tomato/516.png,tomato,1.31304056e-32,6.68659371e-15,7.24965411e-29,1]]
32,0,0,/media/panasonic/644E9C944E9C611A/tmp/data/img/food_google_search_256_manually_select_20180802_4class/broccoli/106.png,broccoli,1,3.68685282e-19,2.858218e-21,1.29047942e-35
33,1,1,/media/panasonic/644E9C944E9C611A/tmp/data/img/food_google_search_256_manually_select_20180802_4class/eggplant/581.png,eggplant,1.02583931e-18,1,5.20753838e-17,6.84042281e-19]]
34,3,3,/media/panasonic/644E9C944E9C611A/tmp/data/img/food_google_search_256_manually_select_20180802_4class/tomato/377.png,tomato,7.27596632e-31,1.14883677e-19,9.51514906e-20,1
35,3,3,/media/panasonic/644E9C944E9C611A/tmp/data/img/food_google_search_256_manually_select_20180802_4class/tomato/706.png,tomato,1.92946355e-37,7.92544707e-17,3.23726031e-32,1]]
36,3,3,/media/panasonic/644E9C944E9C611A/tmp/data/img/food_google_search_256_manually_select_20180802_4class/tomato/303.png,tomato,0,4.43974073e-24,0,1
37,3,3,/media/panasonic/644E9C944E9C611A/tmp/data/img/food_google_search_256_manually_select_20180802_4class/tomato/266.png,tomato,0,1.8365808e-24,6.95118161e-37,1]]
38,1,1,/media/panasonic/644E9C944E9C611A/tmp/data/img/food_google_search_256_manually_select_20180802_4class/eggplant/118.png,eggplant,4.81178326e-15,1,4.86361e-12,4.83483548e-16
39,0,0,/media/panasonic/644E9C944E9C611A/tmp/data/img/food_google_search_256_manually_select_20180802_4class/broccoli/305.png,broccoli,1,2.05082156e-08,7.32348e-10,1.02633044e-22]]
40,3,3,/media/panasonic/644E9C944E9C611A/tmp/data/img/food_google_search_256_manually_select_20180802_4class/tomato/322.png,tomato,6.10729697e-34,2.29919284e-14,2.12153642e-29,1
41,2,2,/media/panasonic/644E9C944E9C611A/tmp/data/img/food_google_search_256_manually_select_20180802_4class/potato/308.png,potato,9.6876217e-16,1.00399626e-08,0.999990702,9.26706e-06]]
42,0,0,/media/panasonic/644E9C944E9C611A/tmp/data/img/food_google_search_256_manually_select_20180802_4class/broccoli/278.png,broccoli,1,6.24602323e-12,6.32696695e-13,1.36112459e-23
43,3,3,/media/panasonic/644E9C944E9C611A/tmp/data/img/food_google_search_256_manually_select_20180802_4class/tomato/610.png,tomato,0,1.77790568e-29,0,1]]
44,2,2,/media/panasonic/644E9C944E9C611A/tmp/data/img/food_google_search_256_manually_select_20180802_4class/potato/312.png,potato,1.68931499e-15,1.72374186e-07,0.999851823,0.000148061197
45,3,3,/media/panasonic/644E9C944E9C611A/tmp/data/img/food_google_search_256_manually_select_20180802_4class/tomato/177.png,tomato,0,1.25633337e-33,0,1]]
46,1,1,/media/panasonic/644E9C944E9C611A/tmp/data/img/food_google_search_256_manually_select_20180802_4class/eggplant/406.png,eggplant,7.46296445e-22,1,4.04707525e-16,6.81987371e-24
47,2,2,/media/panasonic/644E9C944E9C611A/tmp/data/img/food_google_search_256_manually_select_20180802_4class/potato/11.png,potato,4.56346365e-22,4.59079141e-21,1,4.43597e-37]]
48,1,1,/media/panasonic/644E9C944E9C611A/tmp/data/img/food_google_search_256_manually_select_20180802_4class/eggplant/33.png,eggplant,4.81122531e-18,1,5.34413246e-14,2.64481275e-20
49,0,0,/media/panasonic/644E9C944E9C611A/tmp/data/img/food_google_search_256_manually_select_20180802_4class/broccoli/213.png,broccoli,0.999999642,5.7339542e-09,3.89463111e-07,3.68288778e-19]]
50,1,1,/media/panasonic/644E9C944E9C611A/tmp/data/img/food_google_search_256_manually_select_20180802_4class/eggplant/571.png,eggplant,2.96449156e-20,1,3.90574346e-14,2.5904623e-21
51,3,3,/media/panasonic/644E9C944E9C611A/tmp/data/img/food_google_search_256_manually_select_20180802_4class/tomato/370.png,tomato,0,2.55570543e-29,0,1]]
52,3,3,/media/panasonic/644E9C944E9C611A/tmp/data/img/food_google_search_256_manually_select_20180802_4class/tomato/144.png,tomato,0,5.04978944e-30,0,1
53,3,3,/media/panasonic/644E9C944E9C611A/tmp/data/img/food_google_search_256_manually_select_20180802_4class/tomato/661.png,tomato,1.64014716e-36,1.01960472e-26,1.97414129e-38,1]]
54,3,3,/media/panasonic/644E9C944E9C611A/tmp/data/img/food_google_search_256_manually_select_20180802_4class/tomato/268.png,tomato,2.00651493e-38,1.0374574e-24,0,1
55,3,3,/media/panasonic/644E9C944E9C611A/tmp/data/img/food_google_search_256_manually_select_20180802_4class/tomato/36.png,tomato,0,3.6603528e-34,0,1]]
56,0,0,/media/panasonic/644E9C944E9C611A/tmp/data/img/food_google_search_256_manually_select_20180802_4class/broccoli/214.png,broccoli,0.999973536,2.64975642e-05,1.05365461e-09,2.22926022e-16
57,0,0,/media/panasonic/644E9C944E9C611A/tmp/data/img/food_google_search_256_manually_select_20180802_4class/broccoli/25.png,broccoli,1,1.70355131e-22,1.13435023e-16,6.85046435e-30]]
58,2,2,/media/panasonic/644E9C944E9C611A/tmp/data/img/food_google_search_256_manually_select_20180802_4class/potato/16.png,potato,1.46525231e-21,1.19184794e-18,1,2.17262659e-36
59,2,2,/media/panasonic/644E9C944E9C611A/tmp/data/img/food_google_search_256_manually_select_20180802_4class/potato/809.png,potato,1.60559599e-09,0.313850045,0.686149895,2.63394263e-14]]
60,0,0,/media/panasonic/644E9C944E9C611A/tmp/data/img/food_google_search_256_manually_select_20180802_4class/broccoli/205.png,broccoli,1,1.27026443e-08,2.36777422e-14,8.41229313e-26
61,2,2,/media/panasonic/644E9C944E9C611A/tmp/data/img/food_google_search_256_manually_select_20180802_4class/potato/111.png,potato,4.67938743e-11,2.14744365e-08,1,5.09928827e-22]]
62,3,3,/media/panasonic/644E9C944E9C611A/tmp/data/img/food_google_search_256_manually_select_20180802_4class/tomato/30.png,tomato,0,2.993027e-33,0,1
63,1,1,/media/panasonic/644E9C944E9C611A/tmp/data/img/food_google_search_256_manually_select_20180802_4class/eggplant/558.png,eggplant,1.69673678e-20,1,9.19793416e-15,7.87822285e-22]]
64,1,1,/media/panasonic/644E9C944E9C611A/tmp/data/img/food_google_search_256_manually_select_20180802_4class/eggplant/70.png,eggplant,1.57917535e-20,1,2.28319721e-15,1.32188874e-20
65,1,1,/media/panasonic/644E9C944E9C611A/tmp/data/img/food_google_search_256_manually_select_20180802_4class/eggplant/324.png,eggplant,5.16127822e-18,1,1.25217272e-15,2.87557405e-21]]
66,2,2,/media/panasonic/644E9C944E9C611A/tmp/data/img/food_google_search_256_manually_select_20180802_4class/potato/572.png,potato,1.12446878e-10,1.47994535e-06,0.999998569,3.02577914e-15
67,0,0,/media/panasonic/644E9C944E9C611A/tmp/data/img/food_google_search_256_manually_select_20180802_4class/broccoli/367.png,broccoli,1,8.70221228e-09,7.31927685e-10,1.04000839e-18]]
68,3,3,/media/panasonic/644E9C944E9C611A/tmp/data/img/food_google_search_256_manually_select_20180802_4class/tomato/580.png,tomato,6.4976789e-22,4.21240172e-17,4.71588e-19,1
69,1,1,/media/panasonic/644E9C944E9C611A/tmp/data/img/food_google_search_256_manually_select_20180802_4class/eggplant/25.png,eggplant,6.77031119e-17,1,1.1622982e-13,2.89979215e-17]]
70,3,3,/media/panasonic/644E9C944E9C611A/tmp/data/img/food_google_search_256_manually_select_20180802_4class/tomato/374.png,tomato,0,2.70805398e-24,7.05338568e-35,1
71,3,3,/media/panasonic/644E9C944E9C611A/tmp/data/img/food_google_search_256_manually_select_20180802_4class/tomato/63.png,tomato,0,1.49757933e-31,0,1]]
72,3,3,/media/panasonic/644E9C944E9C611A/tmp/data/img/food_google_search_256_manually_select_20180802_4class/tomato/47.png,tomato,4.27107835e-37,1.62228078e-23,7.40963867e-36,1
73,0,0,/media/panasonic/644E9C944E9C611A/tmp/data/img/food_google_search_256_manually_select_20180802_4class/broccoli/599.png,broccoli,1,1.43784159e-24,9.65730321e-17,3.21407454e-34]]
74,0,2,/media/panasonic/644E9C944E9C611A/tmp/data/img/food_google_search_256_manually_select_20180802_4class/potato/384.png,potato,0.951426566,5.01272771e-05,0.0485233255,1.35753087e-09
75,0,2,/media/panasonic/644E9C944E9C611A/tmp/data/img/food_google_search_256_manually_select_20180802_4class/potato/457.png,potato,0.999037623,0.000962175662,2.85517444e-07,4.46144593e-10]]
76,3,3,/media/panasonic/644E9C944E9C611A/tmp/data/img/food_google_search_256_manually_select_20180802_4class/tomato/40.png,tomato,0,2.05964404e-32,0,1
77,3,3,/media/panasonic/644E9C944E9C611A/tmp/data/img/food_google_search_256_manually_select_20180802_4class/tomato/116.png,tomato,0,1.1952899e-26,0,1]]
78,0,0,/media/panasonic/644E9C944E9C611A/tmp/data/img/food_google_search_256_manually_select_20180802_4class/broccoli/381.png,broccoli,1,4.29688362e-14,9.86597248e-10,3.40754307e-20
79,0,0,/media/panasonic/644E9C944E9C611A/tmp/data/img/food_google_search_256_manually_select_20180802_4class/broccoli/334.png,broccoli,1,1.09589242e-28,1.79069752e-19,1.87219022e-31]]
80,3,3,/media/panasonic/644E9C944E9C611A/tmp/data/img/food_google_search_256_manually_select_20180802_4class/tomato/396.png,tomato,6.02701374e-33,3.95090444e-20,1.21399861e-31,1
81,3,3,/media/panasonic/644E9C944E9C611A/tmp/data/img/food_google_search_256_manually_select_20180802_4class/tomato/94.png,tomato,0,1.03023688e-23,2.56263741e-36,1]]
82,3,3,/media/panasonic/644E9C944E9C611A/tmp/data/img/food_google_search_256_manually_select_20180802_4class/tomato/755.png,tomato,1.8650218e-36,5.63625055e-27,0,1
83,1,2,/media/panasonic/644E9C944E9C611A/tmp/data/img/food_google_search_256_manually_select_20180802_4class/potato/311.png,potato,0.000101217134,0.999880552,1.82257154e-05,2.72116162e-12]]
84,2,2,/media/panasonic/644E9C944E9C611A/tmp/data/img/food_google_search_256_manually_select_20180802_4class/potato/693.png,potato,8.76880112e-22,3.5232993e-18,1,6.23985347e-35
85,0,0,/media/panasonic/644E9C944E9C611A/tmp/data/img/food_google_search_256_manually_select_20180802_4class/broccoli/726.png,broccoli,1,1.59388843e-12,1.87799518e-08,1.57639073e-25]]
86,0,0,/media/panasonic/644E9C944E9C611A/tmp/data/img/food_google_search_256_manually_select_20180802_4class/broccoli/201.png,broccoli,0.997401357,0.00259866263,6.87209387e-11,2.82516817e-19
87,3,3,/media/panasonic/644E9C944E9C611A/tmp/data/img/food_google_search_256_manually_select_20180802_4class/tomato/305.png,tomato,1.41337149e-37,2.85758874e-19,1.40364137e-29,1]]
88,3,3,/media/panasonic/644E9C944E9C611A/tmp/data/img/food_google_search_256_manually_select_20180802_4class/tomato/628.png,tomato,0,8.05543871e-34,0,1
89,3,3,/media/panasonic/644E9C944E9C611A/tmp/data/img/food_google_search_256_manually_select_20180802_4class/tomato/32.png,tomato,0,1.14239701e-31,0,1]]
90,3,3,/media/panasonic/644E9C944E9C611A/tmp/data/img/food_google_search_256_manually_select_20180802_4class/tomato/2.png,tomato,8.32874598e-22,3.96049927e-06,1.50029289e-19,0.999996066
91,0,0,/media/panasonic/644E9C944E9C611A/tmp/data/img/food_google_search_256_manually_select_20180802_4class/broccoli/257.png,broccoli,0.999782,1.34775668e-09,0.000217960682,2.07459545e-15]]
92,2,2,/media/panasonic/644E9C944E9C611A/tmp/data/img/food_google_search_256_manually_select_20180802_4class/potato/8.png,potato,1.03349929e-14,1.29085656e-05,0.999987125,5.65065142e-17
93,1,2,/media/panasonic/644E9C944E9C611A/tmp/data/img/food_google_search_256_manually_select_20180802_4class/potato/733.png,potato,2.13087e-12,0.9999789,2.11382285e-05,2.87230547e-18]]
94,3,3,/media/panasonic/644E9C944E9C611A/tmp/data/img/food_google_search_256_manually_select_20180802_4class/tomato/490.png,tomato,1.14339551e-23,1.1230904e-13,1.20152451e-20,1
95,2,2,/media/panasonic/644E9C944E9C611A/tmp/data/img/food_google_search_256_manually_select_20180802_4class/potato/357.png,potato,5.79767318e-17,7.27724755e-11,1,2.84257491e-26]]
96,0,0,/media/panasonic/644E9C944E9C611A/tmp/data/img/food_google_search_256_manually_select_20180802_4class/broccoli/226.png,broccoli,1,2.66284889e-23,1.01996721e-17,6.58952103e-34
97,2,2,/media/panasonic/644E9C944E9C611A/tmp/data/img/food_google_search_256_manually_select_20180802_4class/potato/314.png,potato,2.70284771e-20,1.13688991e-14,1,6.40523698e-24]]
98,1,2,/media/panasonic/644E9C944E9C611A/tmp/data/img/food_google_search_256_manually_select_20180802_4class/potato/233.png,potato,2.03846207e-09,1,5.48773076e-11,1.2507822e-17
99,0,0,/media/panasonic/644E9C944E9C611A/tmp/data/img/food_google_search_256_manually_select_20180802_4class/broccoli/375.png,broccoli,1,3.97243796e-21,5.22159e-14,6.48507692e-36]]
100,1,1,/media/panasonic/644E9C944E9C611A/tmp/data/img/food_google_search_256_manually_select_20180802_4class/eggplant/18.png,eggplant,3.9247371e-20,1,5.57922801e-17,2.6311284e-19
101,2,2,/media/panasonic/644E9C944E9C611A/tmp/data/img/food_google_search_256_manually_select_20180802_4class/potato/277.png,potato,1.25748443e-07,0.000218856963,0.999781072,4.49726926e-14]]
102,0,0,/media/panasonic/644E9C944E9C611A/tmp/data/img/food_google_search_256_manually_select_20180802_4class/broccoli/412.png,broccoli,0.999997854,5.49893e-07,1.53533654e-06,5.31603048e-18
103,3,3,/media/panasonic/644E9C944E9C611A/tmp/data/img/food_google_search_256_manually_select_20180802_4class/tomato/412.png,tomato,1.3818697e-36,1.47138784e-18,1.53891639e-25,1]]
104,0,0,/media/panasonic/644E9C944E9C611A/tmp/data/img/food_google_search_256_manually_select_20180802_4class/broccoli/365.png,broccoli,0.999998331,1.34165805e-06,3.4925489e-07,4.32444934e-23
105,1,0,/media/panasonic/644E9C944E9C611A/tmp/data/img/food_google_search_256_manually_select_20180802_4class/broccoli/500.png,broccoli,0.00132681301,0.998673201,1.58401417e-12,1.51557683e-26]]
106,1,0,/media/panasonic/644E9C944E9C611A/tmp/data/img/food_google_search_256_manually_select_20180802_4class/broccoli/250.png,broccoli,0.391194671,0.608805299,6.72078855e-08,3.67250132e-24
107,2,2,/media/panasonic/644E9C944E9C611A/tmp/data/img/food_google_search_256_manually_select_20180802_4class/potato/1.png,potato,1.28690033e-15,2.74643162e-06,0.999997258,6.1884819e-23]]
108,0,0,/media/panasonic/644E9C944E9C611A/tmp/data/img/food_google_search_256_manually_select_20180802_4class/broccoli/109.png,broccoli,0.999999881,1.15013439e-08,7.04088663e-08,1.01649522e-31
109,3,3,/media/panasonic/644E9C944E9C611A/tmp/data/img/food_google_search_256_manually_select_20180802_4class/tomato/61.png,tomato,1.12523351e-26,3.91399695e-15,1.23643274e-23,1]]
110,0,0,/media/panasonic/644E9C944E9C611A/tmp/data/img/food_google_search_256_manually_select_20180802_4class/broccoli/521.png,broccoli,1,1.16469876e-14,3.26222804e-09,1.50798937e-24
111,1,2,/media/panasonic/644E9C944E9C611A/tmp/data/img/food_google_search_256_manually_select_20180802_4class/potato/20.png,potato,0.000341343635,0.986476541,0.013182071,1.26989663e-09]]
112,1,1,/media/panasonic/644E9C944E9C611A/tmp/data/img/food_google_search_256_manually_select_20180802_4class/eggplant/138.png,eggplant,1.56650167e-15,1,1.49611904e-14,4.50653137e-22
113,3,2,/media/panasonic/644E9C944E9C611A/tmp/data/img/food_google_search_256_manually_select_20180802_4class/potato/700.png,potato,7.90879767e-06,0.00764318835,1.2640603e-06,0.992347598]]
114,1,1,/media/panasonic/644E9C944E9C611A/tmp/data/img/food_google_search_256_manually_select_20180802_4class/eggplant/765.png,eggplant,8.50123036e-19,1,3.35425081e-14,6.68407688e-20
115,1,1,/media/panasonic/644E9C944E9C611A/tmp/data/img/food_google_search_256_manually_select_20180802_4class/eggplant/10.png,eggplant,1.1964157e-20,1,4.42298519e-18,8.13893064e-26]]
116,3,3,/media/panasonic/644E9C944E9C611A/tmp/data/img/food_google_search_256_manually_select_20180802_4class/tomato/219.png,tomato,3.76305588e-34,1.72530043e-25,8.11388502e-33,1
117,0,0,/media/panasonic/644E9C944E9C611A/tmp/data/img/food_google_search_256_manually_select_20180802_4class/broccoli/516.png,broccoli,1,5.64247491e-17,2.60161724e-18,1.46487116e-30]]
118,2,2,/media/panasonic/644E9C944E9C611A/tmp/data/img/food_google_search_256_manually_select_20180802_4class/potato/17.png,potato,0.00940009858,0.148174986,0.842412889,1.19492761e-05
119,0,0,/media/panasonic/644E9C944E9C611A/tmp/data/img/food_google_search_256_manually_select_20180802_4class/broccoli/284.png,broccoli,1,3.78605168e-11,3.91126287e-09,1.56745805e-30]]
120,0,0,/media/panasonic/644E9C944E9C611A/tmp/data/img/food_google_search_256_manually_select_20180802_4class/broccoli/246.png,broccoli,1,2.43848583e-21,8.93566193e-11,1.4537342e-27
121,0,0,/media/panasonic/644E9C944E9C611A/tmp/data/img/food_google_search_256_manually_select_20180802_4class/broccoli/438.png,broccoli,1,4.33844323e-12,6.25608e-14,3.34307696e-27]]
122,1,1,/media/panasonic/644E9C944E9C611A/tmp/data/img/food_google_search_256_manually_select_20180802_4class/eggplant/35.png,eggplant,1.20838009e-24,1,4.05853873e-20,7.56144576e-25
123,1,1,/media/panasonic/644E9C944E9C611A/tmp/data/img/food_google_search_256_manually_select_20180802_4class/eggplant/644.png,eggplant,1.30649591e-16,1,3.79964831e-13,1.82968709e-15]]
124,3,3,/media/panasonic/644E9C944E9C611A/tmp/data/img/food_google_search_256_manually_select_20180802_4class/tomato/43.png,tomato,0,1.21200897e-31,0,1
125,0,0,/media/panasonic/644E9C944E9C611A/tmp/data/img/food_google_search_256_manually_select_20180802_4class/broccoli/474.png,broccoli,0.999999642,3.55813484e-07,1.55174118e-09,3.23705899e-26]]
126,0,0,/media/panasonic/644E9C944E9C611A/tmp/data/img/food_google_search_256_manually_select_20180802_4class/broccoli/411.png,broccoli,0.999981761,6.05925408e-08,1.80708339e-05,1.13387892e-17
127,3,3,/media/panasonic/644E9C944E9C611A/tmp/data/img/food_google_search_256_manually_select_20180802_4class/tomato/6.png,tomato,0,1.30116904e-31,0,1]]
128,2,2,/media/panasonic/644E9C944E9C611A/tmp/data/img/food_google_search_256_manually_select_20180802_4class/potato/150.png,potato,2.64815652e-11,8.14072334e-13,1,4.43627706e-21
129,2,2,/media/panasonic/644E9C944E9C611A/tmp/data/img/food_google_search_256_manually_select_20180802_4class/potato/276.png,potato,1.22634265e-06,2.35172506e-11,0.999998808,9.29688763e-19]]
130,0,0,/media/panasonic/644E9C944E9C611A/tmp/data/img/food_google_search_256_manually_select_20180802_4class/broccoli/117.png,broccoli,0.999991298,8.66860319e-06,6.98907529e-11,1.74589419e-19
131,0,2,/media/panasonic/644E9C944E9C611A/tmp/data/img/food_google_search_256_manually_select_20180802_4class/potato/425.png,potato,0.728757322,0.0156711098,0.255571574,3.52514614e-14]]
132,1,0,/media/panasonic/644E9C944E9C611A/tmp/data/img/food_google_search_256_manually_select_20180802_4class/broccoli/481.png,broccoli,0.0501678921,0.94982785,4.34359436e-06,6.7803975e-17
133,3,3,/media/panasonic/644E9C944E9C611A/tmp/data/img/food_google_search_256_manually_select_20180802_4class/tomato/678.png,tomato,0,0,0,1]]
134,3,3,/media/panasonic/644E9C944E9C611A/tmp/data/img/food_google_search_256_manually_select_20180802_4class/tomato/28.png,tomato,0,0,0,1
135,0,0,/media/panasonic/644E9C944E9C611A/tmp/data/img/food_google_search_256_manually_select_20180802_4class/broccoli/139.png,broccoli,1,1.16034481e-20,5.04612391e-14,2.93917e-33]]
136,2,2,/media/panasonic/644E9C944E9C611A/tmp/data/img/food_google_search_256_manually_select_20180802_4class/potato/307.png,potato,8.61891749e-06,0.0966860428,0.903305292,2.10074924e-18
137,1,1,/media/panasonic/644E9C944E9C611A/tmp/data/img/food_google_search_256_manually_select_20180802_4class/eggplant/352.png,eggplant,1.34985839e-14,1,3.38814697e-12,1.04445788e-17]]
138,3,0,/media/panasonic/644E9C944E9C611A/tmp/data/img/food_google_search_256_manually_select_20180802_4class/broccoli/551.png,broccoli,2.67231193e-09,1.63613731e-06,2.05266288e-14,0.999998331
139,0,0,/media/panasonic/644E9C944E9C611A/tmp/data/img/food_google_search_256_manually_select_20180802_4class/broccoli/442.png,broccoli,0.999999881,6.53047536e-08,2.54864352e-09,5.73285327e-27]]
140,2,2,/media/panasonic/644E9C944E9C611A/tmp/data/img/food_google_search_256_manually_select_20180802_4class/potato/226.png,potato,3.9193031e-14,5.8019558e-09,1,1.24717166e-23
141,1,1,/media/panasonic/644E9C944E9C611A/tmp/data/img/food_google_search_256_manually_select_20180802_4class/eggplant/722.png,eggplant,4.65313044e-23,1,3.73937501e-18,3.30447424e-24]]
142,0,0,/media/panasonic/644E9C944E9C611A/tmp/data/img/food_google_search_256_manually_select_20180802_4class/broccoli/179.png,broccoli,0.999999881,7.66594579e-13,1.19294626e-07,1.99064278e-22
143,1,2,/media/panasonic/644E9C944E9C611A/tmp/data/img/food_google_search_256_manually_select_20180802_4class/potato/504.png,potato,9.80969439e-09,0.946503818,0.0534962118,7.1315e-20]]
144,0,0,/media/panasonic/644E9C944E9C611A/tmp/data/img/food_google_search_256_manually_select_20180802_4class/broccoli/238.png,broccoli,0.911528766,0.088470608,6.10913e-07,1.22456764e-14
145,3,3,/media/panasonic/644E9C944E9C611A/tmp/data/img/food_google_search_256_manually_select_20180802_4class/tomato/407.png,tomato,0,1.1835327e-28,0,1]]
146,1,1,/media/panasonic/644E9C944E9C611A/tmp/data/img/food_google_search_256_manually_select_20180802_4class/eggplant/266.png,eggplant,6.45627457e-20,1,5.48373e-16,8.22917799e-28
147,0,0,/media/panasonic/644E9C944E9C611A/tmp/data/img/food_google_search_256_manually_select_20180802_4class/broccoli/598.png,broccoli,0.921059966,0.0789400265,3.11269399e-10,4.4863429e-21]]
