,prediction,label,filename,categorynames,prob_0,prob_1,prob_2,prob_3,prob_4,prob_5,prob_6,prob_7,prob_8,prob_9
10,8,8,/media/panasonic/644E9C944E9C611A/tmp/data/img/food_google_search_224_20180918/validation/shishito/shishito_460.png,shishito,5.56239456e-07,0.000505880918,5.40562928e-10,2.62670765e-05,4.93169921e-07,1.09247758e-05,6.42573141e-08,3.91120835e-07,0.999446332,9.05966135e-06
11,8,8,/media/panasonic/644E9C944E9C611A/tmp/data/img/food_google_search_224_20180918/validation/shishito/shishito_382.png,shishito,3.09294273e-06,0.00592636038,1.19614574e-09,0.000207928591,7.282345e-06,4.89022386e-05,5.06448373e-07,3.46359798e-06,0.993719339,8.31531506e-05]]
12,6,6,/media/panasonic/644E9C944E9C611A/tmp/data/img/food_google_search_224_20180918/validation/poteto/poteto_580.png,poteto,0.0556101389,0.0387528166,0.0127472477,0.00965903327,0.0198602285,0.0807006285,0.627530754,0.10561303,0.0377693921,0.0117567861
13,8,8,/media/panasonic/644E9C944E9C611A/tmp/data/img/food_google_search_224_20180918/validation/shishito/shishito_478.png,shishito,0.0110968882,0.0878422,0.000496551802,0.102606788,0.0044379821,0.0268088914,0.00423622597,0.00554558355,0.534425,0.222503871]]
14,9,8,/media/panasonic/644E9C944E9C611A/tmp/data/img/food_google_search_224_20180918/validation/shishito/shishito_533.png,shishito,0.017294744,0.0660616532,9.12584583e-05,0.00868041161,0.00829884782,0.0238660444,0.000355268625,0.0024987536,0.409350663,0.463502437
15,8,1,/media/panasonic/644E9C944E9C611A/tmp/data/img/food_google_search_224_20180918/validation/cucumber/cucumber_247.png,cucumber,0.000823376584,0.289627552,1.35169721e-05,0.00265549775,0.000356603181,0.00112106197,0.000116787101,0.00271006231,0.700818539,0.00175705098]]
16,3,3,/media/panasonic/644E9C944E9C611A/tmp/data/img/food_google_search_224_20180918/validation/eggplant/eggplant-packed_10.png,eggplant,0.0036846397,0.00457618665,0.00121570891,0.937868297,0.00385662192,0.00853916723,0.00367987761,0.0268512666,0.00479851803,0.00492961472
17,5,5,/media/panasonic/644E9C944E9C611A/tmp/data/img/food_google_search_224_20180918/validation/minched/159.png,minched,0.000262507092,1.04934841e-07,1.53615383e-05,4.41087053e-07,0.00082917267,0.998695433,4.81651e-05,2.34758204e-06,4.95867482e-07,0.000145881917]]
18,6,6,/media/panasonic/644E9C944E9C611A/tmp/data/img/food_google_search_224_20180918/validation/poteto/poteto_4.png,poteto,0.000170382278,0.000111520443,0.0651502535,2.03315903e-05,3.42538333e-05,0.000196389912,0.926317155,0.00761691574,4.78937691e-05,0.00033484475
19,0,0,/media/panasonic/644E9C944E9C611A/tmp/data/img/food_google_search_224_20180918/validation/bara/8.png,bara,0.994433939,2.5654046e-07,9.03809416e-10,3.83391416e-08,0.00553310569,3.24946741e-05,3.06077617e-08,3.31085808e-08,8.39338767e-08,3.20067421e-08]]
20,2,2,/media/panasonic/644E9C944E9C611A/tmp/data/img/food_google_search_224_20180918/validation/egg/egg-packed_296.png,egg,9.55691e-07,3.11397912e-08,0.999575913,6.35401642e-09,3.03040821e-07,4.28559645e-07,0.00011931362,0.000156911687,1.07540119e-08,0.00014619196
21,4,4,/media/panasonic/644E9C944E9C611A/tmp/data/img/food_google_search_224_20180918/validation/loin/2.png,loin,0.183241665,0.00142632,0.0144014349,0.00051336037,0.512802124,0.0588688776,0.00678183,0.0286443327,0.000405868981,0.192914218]]
22,9,9,/media/panasonic/644E9C944E9C611A/tmp/data/img/food_google_search_224_20180918/validation/tomato/tomato_796.png,tomato,3.60276244e-05,9.12532232e-06,2.05549054e-06,9.83159687e-09,4.0738465e-05,0.000157306698,1.29610298e-05,8.3248724e-06,4.68862208e-06,0.999728739
23,8,8,/media/panasonic/644E9C944E9C611A/tmp/data/img/food_google_search_224_20180918/validation/shishito/shishito_33.png,shishito,7.09261731e-05,0.00329909078,4.32425793e-07,0.00215879246,5.39657667e-05,0.001315956,2.14983047e-05,4.14758324e-05,0.992296636,0.000741180615]]
24,5,4,/media/panasonic/644E9C944E9C611A/tmp/data/img/food_google_search_224_20180918/validation/loin/264.png,loin,0.255140513,0.000165723948,0.00113528594,6.40261642e-05,0.293629676,0.4349702,0.000440169824,0.000315032114,0.000154298556,0.0139851067
25,3,3,/media/panasonic/644E9C944E9C611A/tmp/data/img/food_google_search_224_20180918/validation/eggplant/eggplant_496.png,eggplant,0.00314521673,0.0236482546,2.10550352e-05,0.881211758,0.00234628888,0.00115406141,0.00155877147,0.000959151424,0.0269091632,0.0590463541]]
26,1,1,/media/panasonic/644E9C944E9C611A/tmp/data/img/food_google_search_224_20180918/validation/cucumber/cucumber-packed_15.png,cucumber,0.000107744469,0.950251579,2.60513417e-07,0.000815892243,1.3810888e-05,1.96583405e-05,2.90668231e-06,0.000139506461,0.0486007,4.79019545e-05
27,9,9,/media/panasonic/644E9C944E9C611A/tmp/data/img/food_google_search_224_20180918/validation/tomato/tomato_220.png,tomato,3.64420839e-06,7.41800534e-07,5.24139466e-07,4.06591338e-09,8.69131e-06,2.65017788e-05,2.29168364e-07,3.23495715e-06,3.9817354e-07,0.999956]]
28,3,7,/media/panasonic/644E9C944E9C611A/tmp/data/img/food_google_search_224_20180918/validation/pumpkin/pumpkin_211.png,pumpkin,0.036206685,0.00509663,0.00753186736,0.62006259,0.0139513947,0.0730771497,0.0209235698,0.0756357312,0.00378485606,0.143729523
29,9,2,/media/panasonic/644E9C944E9C611A/tmp/data/img/food_google_search_224_20180918/validation/egg/egg-packed_557.png,egg,0.00105372572,0.000450972148,0.0109067746,6.52714198e-06,0.00129533373,0.00541407708,0.000591245829,0.0036270062,0.000152335037,0.976502]]
30,0,0,/media/panasonic/644E9C944E9C611A/tmp/data/img/food_google_search_224_20180918/validation/bara/2.png,bara,0.918602765,1.65343517e-05,4.83978624e-07,7.9971403e-07,0.0811261088,0.000212406827,1.95888015e-06,3.7400273e-06,3.24611801e-06,3.19208957e-05
31,4,4,/media/panasonic/644E9C944E9C611A/tmp/data/img/food_google_search_224_20180918/validation/loin/72.png,loin,0.37818563,1.48442432e-05,6.53986e-06,2.44904568e-05,0.594003201,0.0273673832,0.000140364791,2.27993532e-05,2.0230611e-05,0.000214543601]]
32,1,8,/media/panasonic/644E9C944E9C611A/tmp/data/img/food_google_search_224_20180918/validation/shishito/shishito_767.png,shishito,0.00041418738,0.640832841,6.5885265e-06,0.00343642361,0.000248646364,0.00233914144,0.000213619482,0.0012999723,0.346893281,0.00431523612
33,1,1,/media/panasonic/644E9C944E9C611A/tmp/data/img/food_google_search_224_20180918/validation/cucumber/cucumber-packed_9.png,cucumber,6.0934558e-06,0.98293519,6.37576347e-09,9.86754894e-05,1.11445945e-06,9.76083243e-07,1.87946512e-07,3.4153818e-06,0.0169526972,1.59949059e-06]]
34,0,4,/media/panasonic/644E9C944E9C611A/tmp/data/img/food_google_search_224_20180918/validation/loin/8.png,loin,0.798651278,1.33389813e-06,5.10024e-07,7.29251781e-07,0.200068235,0.00125083677,6.49962612e-06,2.68044391e-06,1.42493946e-06,1.64622961e-05
35,8,8,/media/panasonic/644E9C944E9C611A/tmp/data/img/food_google_search_224_20180918/validation/shishito/shishito-packed_13.png,shishito,0.000250899291,0.0369685106,3.4490854e-06,0.00129704911,0.000155910267,0.00120763178,6.89767112e-05,0.000253097533,0.958585322,0.00120913901]]
36,8,8,/media/panasonic/644E9C944E9C611A/tmp/data/img/food_google_search_224_20180918/validation/shishito/shishito-packed_6.png,shishito,2.06537625e-05,0.070764184,2.50085776e-07,0.000452540553,1.90362662e-05,0.000121784891,9.45123065e-06,0.000288101408,0.927910805,0.000413196802
37,8,8,/media/panasonic/644E9C944E9C611A/tmp/data/img/food_google_search_224_20180918/validation/shishito/shishito_187.png,shishito,0.00225963537,0.0113240117,5.93448931e-06,0.0121471304,0.00243311725,0.0118872793,0.00012845952,0.000430720887,0.955306,0.00407769624]]
38,3,3,/media/panasonic/644E9C944E9C611A/tmp/data/img/food_google_search_224_20180918/validation/eggplant/eggplant_279.png,eggplant,0.00490908278,0.0499135666,0.000202049778,0.591423452,0.00158353057,0.00608473131,0.00165103993,0.00203122268,0.318638057,0.0235632714
39,9,8,/media/panasonic/644E9C944E9C611A/tmp/data/img/food_google_search_224_20180918/validation/shishito/shishito-packed_79.png,shishito,0.030312784,0.25860256,0.000684889674,0.0422120206,0.0132561224,0.0441968851,0.00406268844,0.0116491439,0.117106661,0.47791627]]
40,1,1,/media/panasonic/644E9C944E9C611A/tmp/data/img/food_google_search_224_20180918/validation/cucumber/cucumber_8.png,cucumber,3.17067304e-07,0.993293047,7.32390676e-11,2.62130675e-06,3.34616956e-08,2.64597322e-08,4.88994889e-09,8.28399891e-08,0.00670385826,3.91051707e-08
41,0,0,/media/panasonic/644E9C944E9C611A/tmp/data/img/food_google_search_224_20180918/validation/bara/6.png,bara,0.738596499,0.000130077606,0.000804808806,3.1730604e-05,0.202241048,0.0548043512,0.000178655042,0.000707032857,5.89360898e-05,0.00244687498]]
42,3,3,/media/panasonic/644E9C944E9C611A/tmp/data/img/food_google_search_224_20180918/validation/eggplant/eggplant-packed_106.png,eggplant,4.66759229e-05,1.69073564e-06,3.98262955e-07,0.999694228,3.89200177e-05,4.95561217e-05,0.000106798652,5.527349e-06,3.93971968e-05,1.68107363e-05
43,3,8,/media/panasonic/644E9C944E9C611A/tmp/data/img/food_google_search_224_20180918/validation/shishito/shishito_223.png,shishito,0.000871294586,0.0018746939,1.66375376e-05,0.978834271,0.000727241,0.00136116741,0.0003593172,0.000388875022,0.0150415683,0.000524821109]]
44,5,5,/media/panasonic/644E9C944E9C611A/tmp/data/img/food_google_search_224_20180918/validation/minched/65.png,minched,0.00639571343,1.84415803e-05,0.000285114307,1.62428369e-05,0.00928327,0.980169356,0.00263623381,0.000149225234,4.37572307e-05,0.00100264431
45,5,5,/media/panasonic/644E9C944E9C611A/tmp/data/img/food_google_search_224_20180918/validation/minched/80.png,minched,0.0375104472,2.31620361e-05,0.000294124795,0.000116918025,0.0903015584,0.870168,0.000206992583,8.24083909e-05,2.9827077e-05,0.00126652687]]
46,9,9,/media/panasonic/644E9C944E9C611A/tmp/data/img/food_google_search_224_20180918/validation/tomato/tomato-packed_6.png,tomato,0.00105053384,0.00075387978,0.00815391913,0.000108403547,0.00109679345,0.00321526523,0.00211416371,0.00215940829,0.00131167786,0.980035961
47,2,2,/media/panasonic/644E9C944E9C611A/tmp/data/img/food_google_search_224_20180918/validation/egg/egg-packed_596.png,egg,0.160654798,0.00412661256,0.453985,0.0115367994,0.119254187,0.156141132,0.0265052952,0.0573056377,0.00128479314,0.00920566916]]
48,8,8,/media/panasonic/644E9C944E9C611A/tmp/data/img/food_google_search_224_20180918/validation/shishito/shishito-packed_3.png,shishito,0.00220385357,0.02604484,9.09657592e-06,0.000662108185,0.00336419302,0.00336979469,3.64182088e-05,0.000434268732,0.949568868,0.014306563
49,3,3,/media/panasonic/644E9C944E9C611A/tmp/data/img/food_google_search_224_20180918/validation/eggplant/eggplant-packed_5.png,eggplant,0.000515893218,0.000187756712,1.74987563e-05,0.995525658,0.000794467807,0.00119129324,0.000463129312,0.000137004652,0.000733959605,0.000433318]]
50,1,1,/media/panasonic/644E9C944E9C611A/tmp/data/img/food_google_search_224_20180918/validation/cucumber/cucumber_168.png,cucumber,0.000271805446,0.947477758,1.96005e-06,0.00893334206,0.000100484613,5.52261045e-05,1.0537804e-05,0.000103398459,0.0428950302,0.000150475433
51,5,5,/media/panasonic/644E9C944E9C611A/tmp/data/img/food_google_search_224_20180918/validation/minched/96.png,minched,0.0544245914,4.92884465e-06,0.000194866632,1.35851542e-05,0.217824221,0.724734187,0.000299836393,4.40634067e-05,1.78250721e-05,0.00244196155]]
52,8,8,/media/panasonic/644E9C944E9C611A/tmp/data/img/food_google_search_224_20180918/validation/shishito/shishito_39.png,shishito,1.01648093e-05,0.0175430868,1.5491981e-08,0.000102995626,8.23556e-06,5.63200556e-05,1.28714578e-06,4.77688e-06,0.982224405,4.86827848e-05
53,7,7,/media/panasonic/644E9C944E9C611A/tmp/data/img/food_google_search_224_20180918/validation/pumpkin/pumpkin_539.png,pumpkin,0.000132963076,0.000272502919,3.87565524e-06,4.25517646e-05,5.97036451e-05,8.02446302e-05,7.44536228e-05,0.998675883,1.99560345e-05,0.0006377502]]
54,0,0,/media/panasonic/644E9C944E9C611A/tmp/data/img/food_google_search_224_20180918/validation/bara/4.png,bara,0.978650689,0.00010595256,3.14883846e-06,7.87353383e-06,0.0204764362,0.000626164,1.11874751e-05,2.54600145e-05,5.36590778e-05,3.96095566e-05
55,7,7,/media/panasonic/644E9C944E9C611A/tmp/data/img/food_google_search_224_20180918/validation/pumpkin/pumpkin-packed_62.png,pumpkin,0.0185883492,0.0149000576,0.0338610858,0.0873596519,0.0158228315,0.0365714282,0.0277022514,0.748508871,0.00624766154,0.0104377391]]
56,8,8,/media/panasonic/644E9C944E9C611A/tmp/data/img/food_google_search_224_20180918/validation/shishito/shishito_123.png,shishito,2.96421149e-06,0.0310954098,3.40528339e-09,0.000157016068,2.48132505e-06,6.47064962e-06,2.39069152e-07,6.26440715e-06,0.968684793,4.43462741e-05
57,2,2,/media/panasonic/644E9C944E9C611A/tmp/data/img/food_google_search_224_20180918/validation/egg/egg-packed_138.png,egg,5.37280102e-05,2.79491746e-06,0.974796355,1.3836906e-07,1.44419546e-05,4.69446641e-05,0.00511610089,0.00324156624,5.0804897e-07,0.016727468]]
58,4,4,/media/panasonic/644E9C944E9C611A/tmp/data/img/food_google_search_224_20180918/validation/loin/530.png,loin,0.285352111,0.000109351167,0.000186982288,8.40462671e-05,0.570865631,0.140747264,0.000205494056,0.000834254723,7.86305318e-05,0.00153627119
59,1,1,/media/panasonic/644E9C944E9C611A/tmp/data/img/food_google_search_224_20180918/validation/cucumber/cucumber_228.png,cucumber,1.19395254e-05,0.967594862,5.35120712e-08,0.00099061185,3.87518367e-06,4.24367863e-06,2.36178494e-06,1.04753371e-05,0.0313741639,7.25291966e-06]]
60,2,2,/media/panasonic/644E9C944E9C611A/tmp/data/img/food_google_search_224_20180918/validation/egg/egg-packed_238.png,egg,4.31652625e-05,3.58591342e-06,0.958267212,1.15649982e-07,6.47842398e-06,2.80718377e-05,0.00181240751,0.0127661815,1.22920824e-07,0.0270727146
61,7,7,/media/panasonic/644E9C944E9C611A/tmp/data/img/food_google_search_224_20180918/validation/pumpkin/pumpkin_237.png,pumpkin,1.80939896e-05,2.91001902e-06,2.03258264e-06,9.31744489e-06,9.65221716e-06,7.63304561e-05,2.71113404e-05,0.999845266,1.73023935e-07,9.29879388e-06]]
62,5,5,/media/panasonic/644E9C944E9C611A/tmp/data/img/food_google_search_224_20180918/validation/minched/258.png,minched,0.0824820474,0.000190175109,0.00226910808,0.000491726678,0.167360276,0.739977539,0.000670748064,0.000474679138,0.000403467799,0.00568028213
63,6,6,/media/panasonic/644E9C944E9C611A/tmp/data/img/food_google_search_224_20180918/validation/poteto/poteto_145.png,poteto,0.0584762879,0.000755159941,0.00668132491,0.000686021463,0.0356676951,0.193376601,0.692693353,0.0059957928,0.00179675675,0.0038710034]]
64,9,9,/media/panasonic/644E9C944E9C611A/tmp/data/img/food_google_search_224_20180918/validation/tomato/tomato-packed_341.png,tomato,1.2070609e-05,1.9445939e-05,7.53722052e-05,1.49111763e-08,1.6650738e-05,2.4447334e-05,0.000533604412,0.000426743936,1.48662302e-05,0.99887675
65,0,0,/media/panasonic/644E9C944E9C611A/tmp/data/img/food_google_search_224_20180918/validation/bara/1.png,bara,0.920025945,2.28981412e-06,8.59970157e-07,4.06637469e-07,0.0795171559,0.000439543073,2.31956255e-06,7.21690776e-06,4.04554868e-07,3.80204597e-06]]
66,1,1,/media/panasonic/644E9C944E9C611A/tmp/data/img/food_google_search_224_20180918/validation/cucumber/cucumber-packed_319.png,cucumber,7.81539347e-05,0.830666423,1.23780353e-06,0.0184241403,7.20773e-05,9.31709437e-05,2.09258815e-05,0.000204058131,0.150106594,0.000333294942
67,0,0,/media/panasonic/644E9C944E9C611A/tmp/data/img/food_google_search_224_20180918/validation/bara/10.png,bara,0.996961296,1.24564895e-06,7.08456316e-09,6.78753125e-08,0.00301857572,1.83684679e-05,1.16334959e-07,9.2765e-08,1.52411886e-07,6.59354882e-08]]
68,4,0,/media/panasonic/644E9C944E9C611A/tmp/data/img/food_google_search_224_20180918/validation/bara/7.png,bara,0.316416502,8.39873101e-05,5.19826881e-06,4.23334059e-05,0.670173228,0.0125953257,0.000127961699,0.000347739144,3.54286167e-05,0.000172269807
69,9,9,/media/panasonic/644E9C944E9C611A/tmp/data/img/food_google_search_224_20180918/validation/tomato/tomato-packed_589.png,tomato,1.91943473e-05,3.7360528e-06,1.51175136e-05,5.30264055e-09,2.53852722e-05,4.1169842e-05,0.000412122055,0.000106168642,1.97213808e-06,0.999375045]]
70,6,6,/media/panasonic/644E9C944E9C611A/tmp/data/img/food_google_search_224_20180918/validation/poteto/poteto_238.png,poteto,0.00640939502,0.000474519213,0.00510429963,0.000108318272,0.00083106081,0.00731242867,0.961786211,0.0156453121,0.000848745753,0.00147961569
71,8,8,/media/panasonic/644E9C944E9C611A/tmp/data/img/food_google_search_224_20180918/validation/shishito/shishito_722.png,shishito,0.000333360978,0.00543457549,1.71972238e-06,0.000741464901,0.000223973664,0.00334329018,2.62569556e-05,0.000144727208,0.987823963,0.00192662969]]
72,5,5,/media/panasonic/644E9C944E9C611A/tmp/data/img/food_google_search_224_20180918/validation/minched/623.png,minched,0.00356702716,4.95427503e-06,0.000598732848,6.37019912e-06,0.0108580524,0.981464565,0.00173260993,0.000130054279,1.88564482e-05,0.00161883736
73,7,7,/media/panasonic/644E9C944E9C611A/tmp/data/img/food_google_search_224_20180918/validation/pumpkin/pumpkin-packed_2.png,pumpkin,0.0125703663,0.0104749063,0.00506848702,0.00167439133,0.00391532527,0.00210150471,0.0384992175,0.913418114,0.000776889618,0.0115008792]]
74,2,2,/media/panasonic/644E9C944E9C611A/tmp/data/img/food_google_search_224_20180918/validation/egg/egg-packed_573.png,egg,0.00160456193,4.62622447e-05,0.993794322,0.000168421524,0.000950840535,0.00069442892,0.00104404811,0.00091976003,7.09612505e-05,0.000706335879
75,4,4,/media/panasonic/644E9C944E9C611A/tmp/data/img/food_google_search_224_20180918/validation/loin/174.png,loin,0.407735884,0.000956453732,7.69454418e-05,7.45563084e-05,0.548830271,0.0369617455,0.000221887283,0.000142013072,0.000500735303,0.00449947]]
76,5,5,/media/panasonic/644E9C944E9C611A/tmp/data/img/food_google_search_224_20180918/validation/minched/597.png,minched,0.0105577512,2.2097463e-06,8.88126378e-05,3.70865564e-06,0.0201190989,0.968576968,0.000210671176,3.742437e-06,3.37521124e-06,0.000433581474
77,9,9,/media/panasonic/644E9C944E9C611A/tmp/data/img/food_google_search_224_20180918/validation/tomato/tomato_290.png,tomato,0.00152522209,7.16438153e-05,7.60158873e-05,5.81536824e-06,0.00225754222,0.0049443976,4.60613628e-05,4.90352431e-05,0.000143928395,0.99088037]]
78,7,7,/media/panasonic/644E9C944E9C611A/tmp/data/img/food_google_search_224_20180918/validation/pumpkin/pumpkin-packed_210.png,pumpkin,9.70370747e-05,0.000574057049,7.11060193e-06,1.99496317e-05,3.01673754e-05,8.40207285e-05,8.1620572e-05,0.998734415,3.77477227e-05,0.000333889126
79,1,8,/media/panasonic/644E9C944E9C611A/tmp/data/img/food_google_search_224_20180918/validation/shishito/shishito-packed_48.png,shishito,0.0122205326,0.456410468,0.00263925875,0.0408328138,0.00715242187,0.0149302967,0.0107314885,0.0478520952,0.28518948,0.122041181]]
80,4,4,/media/panasonic/644E9C944E9C611A/tmp/data/img/food_google_search_224_20180918/validation/loin/211.png,loin,0.282230169,5.62100977e-05,0.000714967668,3.31432166e-05,0.678249,0.0276493076,0.00235504145,0.000908844522,6.14579185e-05,0.0077417763
81,6,6,/media/panasonic/644E9C944E9C611A/tmp/data/img/food_google_search_224_20180918/validation/poteto/poteto-packed_11.png,poteto,0.0311055761,0.00071480521,0.0223228168,0.00317729544,0.0158941429,0.0893965,0.7596277,0.0752953,0.00130567653,0.00116023235]]
82,4,0,/media/panasonic/644E9C944E9C611A/tmp/data/img/food_google_search_224_20180918/validation/bara/9.png,bara,0.414029866,1.20777668e-05,5.26717031e-06,3.6164176e-05,0.570185184,0.0155222164,3.65394881e-05,3.2909993e-05,6.46614444e-06,0.000133301248
83,8,8,/media/panasonic/644E9C944E9C611A/tmp/data/img/food_google_search_224_20180918/validation/shishito/shishito_376.png,shishito,0.00670631742,0.11450889,0.000373919931,0.155217305,0.00288381195,0.0155193014,0.00279613188,0.00735266879,0.671627045,0.0230145976]]
84,3,3,/media/panasonic/644E9C944E9C611A/tmp/data/img/food_google_search_224_20180918/validation/eggplant/eggplant_541.png,eggplant,0.0207670555,0.0121990358,0.00116187823,0.551612198,0.030608356,0.205365628,0.0171612184,0.0049935719,0.0466997288,0.109431334
85,1,1,/media/panasonic/644E9C944E9C611A/tmp/data/img/food_google_search_224_20180918/validation/cucumber/cucumber_56.png,cucumber,2.17126555e-07,0.985279202,2.41920761e-10,3.94623839e-06,5.85338604e-08,9.68695062e-08,2.73249139e-08,4.98767349e-07,0.0147157153,1.60649833e-07]]
86,6,6,/media/panasonic/644E9C944E9C611A/tmp/data/img/food_google_search_224_20180918/validation/poteto/poteto_5.png,poteto,0.0248629954,0.0103278104,0.0129693542,0.00408265274,0.00919996,0.0170721859,0.782906353,0.122633673,0.0113024795,0.00464265794
87,7,7,/media/panasonic/644E9C944E9C611A/tmp/data/img/food_google_search_224_20180918/validation/pumpkin/pumpkin_462.png,pumpkin,0.00566020142,0.0208190363,0.000575585407,0.00494853547,0.00394233363,0.00856397115,0.0470408686,0.897725105,0.00393531099,0.00678893551]]
88,5,3,/media/panasonic/644E9C944E9C611A/tmp/data/img/food_google_search_224_20180918/validation/eggplant/eggplant-packed_398.png,eggplant,0.128839955,0.00966380909,0.048771508,0.131235182,0.174545184,0.221364021,0.0329131857,0.219212711,0.0041907113,0.0292637199
89,7,7,/media/panasonic/644E9C944E9C611A/tmp/data/img/food_google_search_224_20180918/validation/pumpkin/pumpkin_88.png,pumpkin,0.00471480656,0.00245079398,5.76625789e-05,0.00041849463,0.00191097241,0.00221179705,0.00405711168,0.981103778,0.000379731762,0.00269496348]]
90,1,1,/media/panasonic/644E9C944E9C611A/tmp/data/img/food_google_search_224_20180918/validation/cucumber/cucumber-packed_628.png,cucumber,8.45364557e-05,0.988262594,1.28757392e-07,0.000998086,1.47511046e-05,1.01962887e-05,2.45963588e-06,5.00935e-05,0.0105737,3.35386039e-06
91,3,8,/media/panasonic/644E9C944E9C611A/tmp/data/img/food_google_search_224_20180918/validation/shishito/shishito_400.png,shishito,0.000398631237,0.000229490979,2.35481866e-06,0.998586178,0.000338903774,0.000210376369,5.49687902e-05,3.00139727e-05,0.000115858107,3.31808333e-05]]
92,1,1,/media/panasonic/644E9C944E9C611A/tmp/data/img/food_google_search_224_20180918/validation/cucumber/cucumber_323.png,cucumber,0.0292727649,0.380077422,0.00690912968,0.0428213477,0.0213719122,0.0422996469,0.0224455949,0.0225309823,0.364051491,0.0682196617
93,3,3,/media/panasonic/644E9C944E9C611A/tmp/data/img/food_google_search_224_20180918/validation/eggplant/eggplant_406.png,eggplant,0.000518135377,5.3796306e-05,4.30427899e-05,0.993032336,0.000965869636,0.00138312485,0.00315737608,4.10310386e-05,0.000221389462,0.000583924178]]
94,6,6,/media/panasonic/644E9C944E9C611A/tmp/data/img/food_google_search_224_20180918/validation/poteto/poteto_161.png,poteto,0.000954407034,3.30982293e-05,0.000675781106,1.18064245e-05,0.000118733988,0.001001394,0.99463743,0.00240695151,0.000115484407,4.49026702e-05
95,5,2,/media/panasonic/644E9C944E9C611A/tmp/data/img/food_google_search_224_20180918/validation/egg/egg-packed_583.png,egg,0.222784966,0.00209611398,0.162726939,0.00402384205,0.0764048696,0.474637061,0.0200427789,0.0156551693,0.000372493931,0.0212557148]]
96,4,4,/media/panasonic/644E9C944E9C611A/tmp/data/img/food_google_search_224_20180918/validation/loin/364.png,loin,0.443869948,7.95101732e-05,0.000218140733,2.76337923e-05,0.518381298,0.0355388448,0.000218038302,0.000128641681,6.74083349e-05,0.00147054577
97,7,7,/media/panasonic/644E9C944E9C611A/tmp/data/img/food_google_search_224_20180918/validation/pumpkin/pumpkin_127.png,pumpkin,2.44570856e-06,2.02649471e-06,2.60450207e-07,6.88757154e-07,5.79399568e-07,2.92317145e-06,7.25901737e-06,0.999972582,5.04273956e-08,1.12245716e-05]]
